aggregation,algorithm,base_dataset,batch_strategy,dataset,device,error_index,error_message,feature_mode,force_undirected,iterations,measurement_type,method,mod_weight,mode,radius,resolution,source_file,source_owner,subcoms_depth
norm,magi-i:10-L:1-r:0-agg:norm-gpu-feat:random,dyn_cora,999:10,dyn_cora,gpu,0,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,1
norm,magi-i:10-L:2-r:0-agg:norm-gpu-feat:random,dyn_cora,999:10,dyn_cora,gpu,1,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,2
norm,magi-i:10-L:3-r:0-agg:norm-gpu-feat:random,dyn_cora,999:10,dyn_cora,gpu,2,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,3
norm,magi-i:10-L:4-r:0-agg:norm-gpu-feat:random,dyn_cora,999:10,dyn_cora,gpu,3,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,4
norm,magi-i:10-L:1-r:0-agg:norm-gpu-feat:random,dyn_citeseer,999:10,dyn_citeseer,gpu,4,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,1
norm,magi-i:10-L:2-r:0-agg:norm-gpu-feat:random,dyn_citeseer,999:10,dyn_citeseer,gpu,5,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,2
norm,magi-i:10-L:3-r:0-agg:norm-gpu-feat:random,dyn_citeseer,999:10,dyn_citeseer,gpu,6,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,3
norm,magi-i:10-L:4-r:0-agg:norm-gpu-feat:random,dyn_citeseer,999:10,dyn_citeseer,gpu,7,k_list must have length >= 3,random,False,10,error,magi,,smart,0,,results/imported_logs/errors_experiment_20260526.json,imported_logs,4
,leidenalg-L:1-r:0-gpu,arxivmath,10,arxivmath,gpu,0,"CUDA error: insufficient resources when calling `cusparseSpGEMM_compute( handle, opA, opB, &alpha, matA, matB, &beta, matC, computeType, CUSPARSE_SPGEMM_DEFAULT, spgemmDesc, &bufferSize2, dBuffer2)`",,False,,error,leidenalg,,smart,0,,results/imported_logs/errors_leidenalg_20260526.json,imported_logs,1
,leidenalg-L:1-r:1-gpu,arxivmath,10,arxivmath,gpu,1,"CUDA error: insufficient resources when calling `cusparseSpGEMM_compute( handle, opA, opB, &alpha, matA, matB, &beta, matC, computeType, CUSPARSE_SPGEMM_DEFAULT, spgemmDesc, &bufferSize2, dBuffer2)`",,False,,error,leidenalg,,smart,1,,results/imported_logs/errors_leidenalg_20260526.json,imported_logs,1
